"Type","Incentive","Game","Description","Amount","Goal"
"0 - Donation Goal","APOCALYPTIC difficulty","darksiders","","$300.00","$300.00"
"0 - Donation Goal","2 player 1 controller, low%","contra 3","Mr K and Hurblat have the hivemind.","$2,174.39","$2,000.00"
"0 - Donation Goal","True ending","contra: shattered soldier","","$301.00","$300.00"
"0 - Bid War","Character","castlevania 3","","$388.54","(None)"
"1 - Bid option","Sypha","castlevania 3","","$346.0","(None)"
"1 - Bid option","Grant","castlevania 3","","$40.5","(None)"
"1 - Bid option","Trevor","castlevania 3","","$1.0","(None)"
"1 - Bid option","Alucard","castlevania 3","","$0.9","(None)"
"0 - Donation Goal","Acting out the play","final fantasy ix part 1","","$1,002.00","$900.00"
"0 - Bid War","Amarant","final fantasy ix part 1","7 Characters","$3,567.67","(None)"
"1 - Bid option","nmbrSMW","final fantasy ix part 1","","$2,169.0","(None)"
"1 - Bid option","MeatBoy","final fantasy ix part 1","","$1,046.0","(None)"
"1 - Bid option","poxnor","final fantasy ix part 1","","$115.5","(None)"
"1 - Bid option","SVegeta","final fantasy ix part 1","","$115.0","(None)"
"1 - Bid option","Batman","final fantasy ix part 1","","$96.1","(None)"
"1 - Bid option","Shaka","final fantasy ix part 1","","$20.0","(None)"
"1 - Bid option","Friskie","final fantasy ix part 1","","$6.0","(None)"
"0 - Bid War","Dagger","final fantasy ix part 1","7 Characters","$2,000.82","(None)"
"1 - Bid option","KeeFry","final fantasy ix part 1","","$1,337.0","(None)"
"1 - Bid option","Marina","final fantasy ix part 1","","$400.0","(None)"
"1 - Bid option","poxnor","final fantasy ix part 1","","$115.5","(None)"
"1 - Bid option","Bisu","final fantasy ix part 1","","$50.0","(None)"
"1 - Bid option","Aimee","final fantasy ix part 1","","$33.3","(None)"
"1 - Bid option","Sting","final fantasy ix part 1","","$30.0","(None)"
"1 - Bid option","Bonemom","final fantasy ix part 1","","$10.0","(None)"
"1 - Bid option","Mikalia","final fantasy ix part 1","","$10.0","(None)"
"1 - Bid option","Sarah","final fantasy ix part 1","","$10.0","(None)"
"1 - Bid option","Raisin","final fantasy ix part 1","","$5.0","(None)"
